Codigo;Autor;Editorial;Titulo;Año;
L-2553;EICHER, Carl K.STAATZ, John M.;;International agricultural development. Desarrollo agricola internacional;1998;
L-2554;DOWER, RogerDITZ, DarylHAETH, PaulJOHNSON, Nels;;Frontiers of sustainability. Fronteras de sustentabilidad;1997;
L-2555;TOMICH, Thomas P.KILBY, PeterJOHNSTON, Bruce;;Transforming agrarian economies. Economias agrarias transformadas;1995;
L-2556;CARDOZO S., CristinaCOCA A., OscarYAÑEZ H., Carlos E.;CEDIB;Cifras y datos del desarrollo alternativo en Bolivia;1999;
L-2557;CAMACHO G., RubenMARTIN B., Karin;PROBONA;Uso campesino de especies arbustivas y arbóreas forrajeras en Bolivia;1998;
L-2558;ROMERO BALLIVIAN, Salvador;FUNDEMOSFUNDACION HANNS SEIDEL;Reformas, conflictos y consensos;1999;
L-2559;LUCKMANN, Thomas;;Teoría de la acción social;1996;
L-255;;ILDIS;Foro Económico. Evaluación de la reforma tributaria;1988;
L-2560;SOLIZ VALENCIA, MarioARCE BIRBUETH, EddyCHAVEZ, FreddySORUCO R., MarcelaBALDIVIESO, Javier;;Tipos de relación bosque - comunidad y normas tradicionales de acceso al bosque en la zona Tariquía los casos de las comunidades Chuquiaca y Motovi;1997;
L-2561;SOUX, María Luisa;;Coca liberal producción y circulación a principios del siglo XX;1993;
L-2562;SALMON, Josefa;;Espejo indígena el discurso indigenista en Bolivia 1900 - 1956;1997;
L-2563;;MINISTERIO DE TRABAJO Y MICROEMPRESA;Diálogo social impacto de la globalización y regionalización en el sindicalismo - flexibilización laboral;1998;
L-2564;SOLIS, Carlos;;Alta tensión filosofía, sociología e historia de la ciencia;1998;
L-2565;FRAGO, E.JOVER, D.LOPEZ, V.MARQUEZ, F.MORA, G.;;Autoempleo en el desarrollo local;1992;
L-2566;;FADESDOS FAIM;Crédito y desarrollo rural en América Latina;1994;
L-2567;CALDERON G., FernandoLASERNA, Roberto;CERES;Fuerza de la equidad. el desarrollo humano en Bolivia;1997;
L-2568;PAZ, Ramiro V.;;Dominio amazónico;1999;
L-2569;RICALDI AREVALO, Tania;UNESCOCESU;Economía ecológica. Una nueva mirada a la ecología humana;1999;
L-256;;ILDIS;Taller de investigaciones socio - económicas. Las modificaciones tributarias;1992;
L-2572;KRIPPENDORFF, Klaus;;Metodología de análisis de contenido teoría y práctica;1997;
L-2573;BARRIOS, Raúl;ILDIS;Comunidad Andina de Naciones. Desafíos políticos y percepciones de la sociedad;1999;
L-2574;;PROFOM;Foro. Crédito pequeña industria realidad y proyección;1995;
L-2575;;UMSS;Ganadores del III concurso de investigación científica y tecnológica universitaria 1998 resúmenes de trabajo;1999;
L-2576;SOTO S., César;CERES;Historia del pacto militar campesino entre la subordinación y la reciprocidad;1994;
L-2577;LASERNA, Roberto;CERES;Masacre del valle el desencuentro militar campesino;1994;
L-2578;MAYORGA, René A.;CERESCLACSO;Democracia a la deriva dilemas de la participación y concertación social en Bolivia;1987;
L-257;;ILDIS;Foro Económico. El proyecto de reforma tributaria;1986;
L-2580;;ACCION ANDINACINEP;Políticas antidroga e interdicción;1999;
L-2581;;MINISTERIO DE PLANEAMIENTO Y COORDINACION;Privatización en Bolivia;1999;
L-2586;CAFASSI, Emilio B.;;Internet políticas y comunicación;1998;
L-2587;ZAVALA ALARDIN, Gonzalo;;Sociedad informatizada ¿una nueva utopía?;1990;
L-2588;MARTIN, Chuck B;;Las 7 ciber tendencias del siglo XXI;1999;
L-2589;;MINISTERIO DE CAPITALIZACION;Capitalization de bolivian model of social and economic reform. capitalización el modelo boliviano de la reforma económica y social;1901;
L-258;;MINISTERIO DE PLANEAMIENTO Y COORDINACION, INE;Información estadística regionalLa Paz;1993;
L-2590;TAPSCOTT, Don;;La era de los negocios electrónicos cómo generar utilidades en el economía digital;1999;
L-2591;;FULIDED;Proyecto de ley de necesidad de reforma a la Constitución Política del Estado;1997;
L-2592;;INTER NATIONES;HumboldtAlexander Humboldt bicentenario del viaje americano 1799 - 1804;1999;
L-2593;GOLDSMITH, EdwardKHOR, MartinNORBERG-HODGE, HelenaSHIVA, Vandana;;The future of progress. El futuro del progreso;1992;
L-2594;;FULIDED;Seminarios y debates. Bolivia hacia el siglo XXI, modernización del Estado (reformas estructurales);1996;
L-2595;;CAMARA DE INDUSTRIA Y COMERCIO DE SANTA CRUZ;Cuentas regionales del departamento de Santa Cruz 1988 - 1997;1998;
L-2596;;LAROUSSE;Diccionario económico comercial y financiero. English/spanish - español/inglés. Más de 30.000 palabras y expresiones;1999;
L-2597;ZIMMERER, Karl S.;;Changing fortunes. Cambio de fortuna;1996;
L-2598;LEMA, Ana María;CAFPNUDIFAD;Pueblos indígenas de la amazonía boliviana;1998;
L-2599;ALVAREZ DE ZAYAS, Carlos M.;;El diseño curricular;2004;
L-259;LAVADOS M., Hugo;UNICEF;Dimensiones de la pobreza en América Latina y el Caribe;1982;
L-25;;BANCO MUNDIAL;Urbanización;;
L-2600;BOJANIC, AlanCANEDO, María ElenaGIANOTTEN, VeraMORALES, Miguel AngelRANABOLDO, Claudia;;Demandas campesinas manual para un análisis participativo;1994;
L-2601;COX ARANIBAR, Ricardo;NOGUBCOSUDE;El saber local metodologías y técnicas participativas;1996;
L-2603;;CORPORACION ANDINA DE FOMENTO;Análisis de competitividad sector exportador boliviano;1996;
L-2604;BENJAMIN, Walter;;Para una crítica de la violencia y otros ensayos;1999;
L-2605;BENJAMIN, Walter;;Poesía y capitalismo;1999;
L-2606;BENJAMIN, Walter;;Imaginación y sociedad;1999;
L-2607;HUSSERL, Edmund;;Invitación a la fenomenología;1998;
L-2608;;CICDA;Gestión concertada de recursos y desarrollo local;1999;
L-2609;SACKS, OliverKEVLES, DanielLEWONTIN, R.C.JAY GOULD, StephenMILLER, Jonathan;;Historias de la ciencia y del olvido;1995;
L-260;ASCARRUNZ, IsabelBEJARANO, Nilse;ILDIS;Serie Mujer. Mujer y medio ambiente en las estrategias de desarrollo y los procesos de planificación;1994;
L-2610;;PADERCOSUDE;Municipio productivo promoción económica rural;1999;
L-2611;;HONORABLE MUNICIPALIDAD DE COCHABAMBA;Reglamento ambiental municipal;1999;
L-2612;PALIZA FLORES, Violeta;;Arquitectura cusqueña en los albores de la republica (1824 - 1934);1994;
L-2613;GONZALES RIOS, José;UNIVERSIDAD NACIONAL DE SAN ANTONIO ABAD DEL CUSCO;Federación Universitaria Cusco y los movimientos sociales 1959-1991;1992;
L-2614;JUSTINIANO MOLINA, Mary;UNIVERSIDAD MAYOR DE SAN SIMON;Lucha político - sindical y la mujer (experiencias de una sindicalista);1995;
L-2615;MENDEZ FERRY, Marcelo;;Asistencia internacional a Bolivia incertidumbres y oportunidades;1997;
L-2616;LEON, RosarioDE LA VEGA, CeciliaFRANQUEVILLE, AndrésAGUERRE, Mateo;IDRCCERESORSTOM;Consumo alimentario en Bolivia;1992;
L-2617;BASTIEN, Joseph W.;;Montaña del cóndor metáfora y ritual en una ayllu andino;1996;
L-2618;HENMAN, Anthony;;Mama coca;1992;
L-2619;ROBINS, Nicholas A.;;Mesianismo y la rebelion indígena la rebelión de Oruro en 1781;1997;
L-261;SANDOVAL Z., Godofredo;UNITAS;Documentos de análisis. Organizaciones no gubernamentales de desarrollo (planificación y evaluación);1987;
L-2620;KESSEL, Juan van;;Cuando arde el tiempo sagrado;1992;
L-2621;ROBINS, Nicholas S.;;El mesianismo y la semiótica. Indígena en el Alto Perú la gran rebelión de 1780 - 1781;1998;
L-2622;MEDINA, Javier;;Nómada inmovil relictos de un viaje a la tierra del anochecer 1966-1976 de 1780 - 1781;1994;
L-2623;MAYORGA, René Antonio;CEBEM;Teoría como reflexión crítica;1990;
L-2624;MIURA, Mitsu;;El honor linguístico;1998;
L-2625;ARNOLD, Denise Y.;;Gente de carne y hueso las tramas de parentesco en los Andes;1998;
L-2626;MULLINS, Laurie J.;;Management and organisational behaviour. Administración y comportamiento organizacional;1994;
L-2627;LATOUR, Bruno;;Pandora_s hope essays on the reality of science studies. Apoyo de pandora ensayo en la realidad de los estudios de las ciencias;1999;
L-2628;CAMPERO PRUDENCIO, Fernando;;Bolivia en el siglo XX la formación de la Bolivia contemporánea;1999;
L-2629;SHIVA, Vandana;;The violence of the green revolution. La violencia en la revolución verde;1997;
L-262;;NACIONES UNIDAS, CEPAL;Panorama económico de América Latina 1994;1994;
L-2630;VAN DEN BOSCH, Robert;;The pesticide conspiración. La conspiración pesticida;1989;
L-2631;ALVAREZ, Sonia E.DAGNINO, EvelinaESCOBAR, Arturo;;Cultures of politics, politics of cultures. Culturas políticas, políticas culturales;1998;
L-2632;ZAGLER, Martin;;Endogenous growth, market failures and economic policy crecimiento endogeno, fracaso del mercado y política económica;1998;
L-2633;BOWLES, SamuelGORDON, David M.WEISSKOPF, Thomas E.;;Tras la economía del despilfarro una economía democrática para el año 2000;1992;
L-2634;MAX - NEEF, Manfred;;Desarrollo a escala humana. Conceptos, aplicaciones y algunas reflexiones;1993;
L-2635;MONTAÑO VERGARA. José D.;;Monografía de Vinto;1900;
L-2635;MONTAÑO VERGARA, José D.;;Monografía de Vinto;1900;
L-2636;WALLERSTEIN, Immanuel;;Utopística o las opciones históricas del siglo XXI;1998;
L-2637;GILPIN, Robert;;The challenge of global capitalism. El cambio del capitalismo global;1900;
L-2638;HOFMAN, André A.;;The economic development of latin America in the twentieth century. El desarrollo económico en América Latina en el centenario;1999;
L-2639;GRABOWSKI, Richard;;Pathways to economic development;1999;
L-263;;NACIONES UNIDAS, CEPAL;Panorama económico de América Latina 1996;1996;
L-2640;MAYER, JorgCHAMBERS, BrianFAROOQ, Ayisha;;Development policies in natural resource economies;1999;
L-2641;LATOUR, Bruno;;We have never beeb modern;1993;
L-2641;LATOUR, Bruno;;We have never been modern;1993;
L-2642;DRAZEN, Allan;;Political economy in macroeconomics. Economía política en macroeconomía;1900;
L-2643;SELIGSON, Mitchell A.PASSE SMITH, John;;Development and underdevelopment the political economy of global inequality;1998;
L-2644;SHAH, Anup;;Ecology and the crisis of over population;1998;
L-2645;REDCLIFT, MichaelWOODGATE, Graham;;The international handbook of environmental sociology;1997;
L-2646;BARBIER, Edward B.;;The economics of environment and development;1998;
L-2647;DRAGUN, Andrew K.TISDELL, Clem;;Sustainable agriculture and environment;1999;
L-2648;SWANSON, Timothy, JOHNSTON, Sam;;Global environmental problems and internacional environmental agreements;1999;
L-2649;BRENT, Robert J.;;Cost-benefit analysis form developing countries;1998;
L-264;;ILDIS;Circuito coca - cocaína y sus implicaciones;1996;
L-2650;BORON, Atilio A.;CLACSO;Filosofía política moderna de Hobbes a Marx;;
L-2651;ALABARCES, Pablo;CLACSO;"Peligro de gol; estudios sobre deporte y sociedad en América Latina";1900;
L-2652;VAN PARIJS, Philippe;;Real freedom for all. Libertad real para todos;1995;
L-2653;ORMEROD, Paul;;The death of economics;1997;
L-2654;PEARSON, FredericPAYASLIAN, Simon;;International political economy. Economía política internacional;1999;
L-2655;STALEY JEVONS, William;;Teoría de la economía política;1998;
L-2656;AGUIRRE, ErnestoJUNGUITO, RobertoMILLER, Geoffrey;;Banca central en América Latina aspectos económicos y jurídicos;1997;
L-2657;CAVE, MartinHANNEY, StephenHENKEL, MaryKOGAN, MauriceLEROY MILLER, Roger;;Higher educatión policy series 34. The use of performance indicators in higher education. The challenge of the quality movement;1988;
L-2658;;UNIVERSIDAD NACIONAL DE COLOMBIA;Planificación herramienta preventiva en desastres?;1997;
L-2659;MOLINA SAUCEDO, Carlos Hugo;FUNDACION FRIEDRICH EBERT STIFTUNG;Descentralización y participación. Las mancomunidades municipales como política de Estado la experiencia innovadora de la Gran Chiquitanía;1900;
L-265;;ILDIS;Estrategia social boliviana;1992;
L-2660;LASERNA, RobertoCAMACHO B., NataliaCORDOVA E., Eduardo;CERESPIEB;Empujando la concertación marchas campesinas, opinión pública y coca;1999;
L-2661;MARTINEZ VEIGA, Ubaldo;;Antropología económica;1990;
L-2662;GORZ, André;;Miserias del presente, riqueza de lo posible;1998;
L-2663;CORREA, Eugenia;;Crisis y desregulación financiera;1998;
L-2664;;DEPARTAMENTO NACIONAL DE PLANEACION;Macroeconomía, género y estado;1998;
L-2665;FINE, BenHARRIS, Laurence;;"Para releer ""el capital""";1985;
L-2666;PETRAS, JamesVELTMEYER, HenryMORAN QUIROZ, Luis Rodolfo;;<La> globalización desenmascarada: El imperialismo en el siglo XXI;2000;
L-2667;PERELMAN, Michael;;<El> fin de la economía;1997;
L-2668;FIGUEROA, Manuel;;<La> economía del poder;1998;
L-2669;;s.a.;Estudio de competitividad de Cochabamba. Mientras siempre hagamos lo que siempre hicimos, siempre obtendremos lo que siempre obtuvimos;1998;
L-266;;BID;Progreso económico y social en América Latina, informe 1988. Ciencia y tecnología;1988;
L-2670;;;Estudio de competitividad de Cochabamba. Mientras siempre hagamos lo que siempre hicimos, siempre obtendremos lo que siempre obtuvimos;1900;
L-2671;IÑIGUEZ DE SLAINAS, Elizabeth;;Apuntes históricos del Banco Central de Bolivia e instituciones conexas;1982;
L-2672;SOLOW, Robert;;Crecimiento y equidad;1993;
L-2673;CARDENAS S., Mauricio;;Empleo y distribución del ingreso en América Latina -hemos avanzado?;1997;
L-2674;ESTAY, JaimeGIRON, AliciaMARTINEZ, Osvaldo;;<La> globalizacion de la economía mundial;1999;
L-2675;BAUMAN, Zygmunt;;Globalización consecuencias humanas;1999;
L-2676;RUESGA, Santos M.;;Estrategias de desarrollo en una economía global;1997;
L-2677;FERGUSON., C.E.GOULD, J.P.;;Teoría microeconómica;1991;
L-2678;CALDERON, FernandoSZMUKLER, Alicia;CERESUASB;<La> política en las calles;1999;
L-2679;KAPLAN, Marcos;;<El> estado Latinoamericano;1996;
L-267;;BID;Progreso económico y social en América Latina, informe 1989. Ahorro, inversión y crecimiento;1989;
L-2680;GRAHAM, Edward M.RICHARDSON, J. David;;Competition policies for the global economy;1997;
L-2681;BENITEZ, Alberto;;Desequilibrio y precios de producción;1995;
L-2682;PEYREFITTE, Alain;;<La> sociedad de la confianza;1996;
L-2683;VALERO, Ricardo;;Globalidad una mirada alternativa;1999;
L-2684;GIRAUD, Pierre-Noel;;Desigualdad del mundo economía del mundo contemporáneo;1900;
L-2685;SUTZ, Judith;CLACSO;Innovación y desarrollo en América Latina;1997;
L-2686;;UNIVERSITAT POLITECNICA DE CATALUNYA;¿Sostenible? tecnología, desarrollo sostenible y desequilibrios;1997;
L-2687;HEILBRONER, RobertMILBERG, William;;Crisis de visión en el pensamiento económico moderno. La;1998;
L-2688;SCANNONE, J.C.REMOLINA, G.;;Etica y economía;1998;
L-2689;RODRIGUEZ DELGADO, Rafael;;Del universo al ser humano hacia una concepción planetaria para el siglo XXI;1997;
L-268;;BID;Deuda externa y el desarrollo económico de América Latina;1984;
L-2690;AMIN, SamirGONZALEZ CASANOVA, Pablo;;Nueva organización capitalista mundial vista desde el sur;1996;
L-2691;LOZANO IRUESTE, José M.;;Nuevo diccionario bilingue de economía y empresa. Inglés - español, español - inglés;1996;
L-2692;LUTZ, Ernst;;Agriculture and the environment. perspectives on sustainable rural development. Globalización de la agricultura y alimentación;1998;
L-2695;BROHMAN, John;;Popular development;1996;
L-2696;CHAMBERS, Robert;;Whose voice participatory research and policy change;1998;
L-2697;RIST, Gilbert;;The history of development;1999;
L-2698;APFFEL MAARGLIN, FrederiqueMARGLIN, Stephen A.;;Decolonizing knowledge fron development to dialogue;1996;
L-2699;JACKSON, Edward T.KASSAM, Yusuf;;Knowledge shared;1998;
L-269;;BID;Progreso económico y social en América Latina. Informe 1978;1978;
L-26;;BANCO MUNDIAL;Vivienda;;
L-2700;GWYNNE, RobertKAY, Cristobal;;Latin America transformed globalization and modernity;1999;
L-2701;BRASS, Tom;;Towards a comparative political economy of unfree labour, Case studies and debates;1999;
L-2702;TENDLER, Judith;;Good government in the tropics;1998;
L-2703;KEITH, Nelson W.;;Reframing international development globalism, postmodernity and difference;1997;
L-2704;CRESPO FLORES, CarlosORELLANA HALKYER, René;CERES;Conflictos ambientales (dos casos agua y territorio);1999;
L-2706;DE JANVRY, AlainKEY, NIgelSADOULET, Elisabeth;FAO;Agricultural and rural development policy in Latin America;1997;
L-2707;ELLIS, Frank;;Agricultural policies in developing countries;1996;
L-2708;MOSSE, DavidFARRINGTON, John;;Development as process concepts and methods for working with complexity;1998;
L-2709;BEIERLEIN, James G.SCHNNEBERGER, Kenneth C.OSBURN, Donald D.;;Agribusiness management;1995;
L-270;;BID;Cooperación empresarial entre América Latina y Japón;1982;
L-2710;BUCK, Susan J.;;The global commons an introduction;1998;
L-2711;RICOSSA, Sergio;;Diccionario de economía;1990;
L-2712;ARASA, CarmenANDREU, José Miguel;;Economía del desarrollo;1996;
L-2715;LEE, Terence Richard;;Water management in the 21st century;1999;
L-2716;ALMEKINDERS, ConnyLOUWAARS, Niels;;Farmers sees production new approaches and practices;1999;
L-2717;PANSTERS, WilMARQUEZ, JesúsHUERTA, Ana MaríaVRIES, Wietse deMORENO, Ricardo;;Mirada del fénix;1996;
L-2718;;ESPAÑA: MINISTERIO DE AGRICULTURA PESCA Y ALIMENTACION;Agricultura, la pesca y la alimentación en España;1999;
L-2719;;ROSSI, GeorgesLAVIGNE DELVILLE, PhilippeNARBEBURU, Didier;Societes rurales et environnement. Sociedades rurales y ambientales;1996;
L-271;;BID;Progreso económico y social en América Latina. Integración económica, informe 1984;1984;
L-2720;FUJITA, MasahisaKRUGMAN, PaulVENABLES, Anthony;;The spatial economy cities, regions and international trade;1999;
L-2721;BARRO, Robert J.SALA MARTIN, Xavier;;Economic growth. Crecimiento económico;1995;
L-2722;BARRO, Robert J.;;Determinants of economic growth. Determinantes del crecimiento económico;1998;
L-2723;COMMERE, René;;Le developpement local en milieu rural;1989;
L-2724;CALLON, MichelLATOUR, Bruno;;La science telle que'elle se fait;1991;
L-2725;RAMBAUD, Placide;;Sociologie rurale. Sociología rural;1976;
L-2726;CHAMBERS, Robert;;Developpement rural la pauvrete cachee;1990;
L-2727;DELGADILLO CORTEZ, Jaime;;Crisis de la deuda externa y sus soluciones la experiencia boliviana;1992;
L-2728;ARCE, AlbertoLONG, Norman;;Anthropology, development and modernities. Antropología, desarrollo y modernidad;1999;
L-2729;DINAR, Ariel;;The political economy of water pricing reforms;1900;
L-272;;BID;Progreso económico y social en América Latina. El sector externo, informe 1982;1982;
L-2730;RAY, Debraj;;Development economics;1998;
L-2731;RAY, Debraj;;Teacher Evaluation a comprehensive guide to new directions and practices;1995;
L-2732;GORDILLO, José M.;PROMECUNIVERSIDAD DE LA CORDILLERAPROMECCEPUMSSPROMECCEPUMSS;Campesinos revolucionarios en Bolivia identidad, territorio y sexualidad en el Valle Alto de Cochabamba, 1952-1964;1900;
L-2733;;CEPAL;Anuario estadistico de América Latina y el Caribe 1999;1999;
L-2734;VILLEGAS QUIROGA, Carlos;;Crisis, pequeños productores y reactivación económica en Bolivia;2000;
L-2735;;CENTRO DE ESTUDIOS DE POBLACION;Resultados de la aplicación del análisis factorial de correspondencias múltiples de investigaciones del área de las ciencias sociales;2501;
L-2736;BLANCO B., Víctor Hugo;CENTRO DE ESTUDIOS DE POBLACION;El proceso de envejecimiento de la poblacion (ciudad de Cochabamba);1999;
L-2737;CAMACHO VILLARROEL, Miriam;CENTRO DE ESTUDIOS DE POBLACION;<La> participación de la mujer en las actividades económicas en el departamento de Cochabamba, 1992;1999;
L-273;WELLS, TrothFOO GAIK, Sim;ISIS;Hasta que tengamos rostros. Las mujeres como consumidoras;1987;
L-2740;;WORLD ALMANAC BOOKS;The authority since 1868. The world almanac and book of facts 1997;1997;
L-2741;;IFFI;Plan estratégico de desarrollo con enfoque de género: Un aporte al Plan Estratégico de Desarrollo del Municipio del Cercado de Cochabamba;2000;
L-2744;MORALES ANAYA, Rolando;UNIVERSIDAD ANDINA SIMON BOLIVAR;Métodos para medir la pobreza;2000;
L-2745;MORALES ANAYA, Rolando;UNIVERSIDAD ANDINA SIMON BOLIVAR;Bolivia: Política económica, geografía y pobreza;2000;
L-2746;"LARRAZABAL CORDOVA, Hernando; PINTO DE LOZA, Carolina; MAYER PRIETO, Rodolfo; VACA CALDERON, Patricia";CEDLA;Ajuste estructural y desarrollo productivo en Bolivia;2000;
L-2747;"COSTA LIMA, Marcos; ALMEIDA MEDEREIROS, Marcelo de";;O Mersocul no limiar du século XXI;2801;
L-2748;DE LA GARZA TOLEDO, Enrique;;Reestructuración productiva, mercado de trabajo y sindicatos en América Latina;2801;
L-2749;LANDER, Edgardo;;Colonialidad del saber: eurocentrismo y ciencias sociales, perspectivas latinoamericanas. La;2000;
L-274;DEL LLANO, Eduardo;;Concentración de la producción y los monopolios;1980;
L-2750;ROCCATAGLIATA, Juan;;Ferrocarriles en la Argentina: un enfoque geográfico. Los;1987;
L-2751;AMPUERO RIVERA, Ana María;;Recursos alimentarios en la ejecución de proyectos de desarrollo rural: La experiencia del proyecto Cotagaita San Juan del Oro;1997;
L-2752;;SUPERINTENDENCIA DE RECURSOS JERARQUICOS;Guía sobre el sistema de regulación financiera y manual de procedimientos administrativos;1999;
L-275;BOHRT, Julio Prudencio;ILDIS;Inseguridad alimentaria en Bolivia. El caso del trigo;1990;
L-2766;"O´SULLIVAN, Rita G.; TENNANT, Cheryl V.";;Programs for at-risk students: a guide to evaluation;1993;
L-2767;;SUPERINTENDENCIA DE RECURSOS JERARQUICOS;Análisis sectorial del sistema financiero boliviano (1998-1999);s.f.;
L-2768;;CERES;Conflictos socioambientales en el Parque Nacional Carrasco. Los;2000;
L-2769;DUISENBERG, Willem F.;;The past and future of European integration a Central Banker´s view;19990926;
L-276;GREENE, James R.SCOWCROFT, Brent;Grupo Editor Latinoamericano. Intereses occidentales y política de Estados Unidos en el Caribe;;1985;
L-2770;DEHEZA U., Gustavo;UNIVERSIDAD CATOLICA BOLIVIANA;Cómo se trabaja un cuestionario;2000;
L-2771;;CEPAL;Aspectos económicos del gasto militar en América Latina y el Caribe;2403;
L-2772;TORNQUIST, Olle;;Politics and development: a critical introduction: Políticas y desarrollo: una introducción crítica;1999;
L-2773;BOJANIC HELBINGEN, Alan J.;;Balance is beautiful: assessing sustainable development in the rain forest of the bolivian amazon: El balance es lo hermoso: el desarrollo sustentable y los bosques de la Amazonía Boliviana;2001;
L-2774;;FULIDED;Formalización de la economía informal;1998;
L-2775;ROJAS ASPIAZU, Luis;; El orden y el caos;1996;
L-2776;LATOUR, Bruno;;Petites lecons de sociologie des sciences;1994;
L-2777;;CEPAL;Panorama de la inserción internacional de América Latina y el Caribe;2001;
L-2778;RAMIREZ, Apolonia;;Comprando juntos frente al hambre;1986;
L-2779;TORREZ RIBEIRO, Ana Clara;CLACSO;Repensando la experiencia urbana de América Latina: cuestiones, conceptos y valores;2000;
L-277;;INTAL, BID;SELApresente y futuro de la cooperación económica intralatinoamericana;1986;
L-2780;"GENTILI, Pablo; FRIGOTTO, Gaudencio";CLACSO;Ciudad negada: políticas de exclusión en la educación y el trabajo;2000;
L-2781;MANSILLA, H.C.F.;FUNDACION MILENIO;Lo propio y lo ajeno en Bolivia: reflexiones sobre la identidad colectiva de una sociedad en transición;2000;
L-2782;"HURREL, Andrew; COOPER, Andrew; GONZALEZ GONZALESZ, Guadalupe; UBIRACI SENNES, Ricardo; SITARAMAN, Srini";;Paths to power_ foreign policy strategies of intermediate states;2000;
L-2783;;MINISTERIO DE HACIENDA;Presupuestos ejecutados de la administración central del gobierno de la República de Bolivia (1990). Dirección General de Contaduría. Viceministerio y Contaduría ;2000;
L-2784;;MINISTERIO DE HACIENDA;Presupuestos ejecutados de la administración central del gobierno de la República de Bolivia (1991). irección General de Contaduría. Viceministerio y Contaduría;2000;
L-2785;;MINISTERIO DE HACIENDA;Presupuestos ejecutados de la administración central del gobierno de la República de Bolivia (1992). Dirección General de Contaduría. Viceministerio y Contaduría;2000;
L-2786;;MINISTERIO DE HACIENDA;Presupuestos ejecutados de la administración central del gobierno de la República de Bolivia (1993). Dirección General de Contaduría. Viceministerio y Contaduría;2000;
L-2787;;MINISTERIO DE HACIENDA;Presupuestos ejecutados de la administración central del gobierno de la República de Bolivia (1994). Dirección General de Contaduría. Viceministerio y Contaduría;2000;
L-2788;;MINISTERIO DE HACIENDA;Presupuestos ejecutados de la administración central del gobierno de la República de Bolivia (1995). Dirección General de Contaduría. Viceministerio y Contaduría;2000;
L-2789;;MINISTERIO DE HACIENDA;Presupuestos ejecutados de la administración central del gobierno de la República de Bolivia (1996). Dirección General de Contaduría. Viceministerio y Contaduría;2000;
L-278;CASANOVAS SAINZ, RobertoESCOBAR DE PABON, Silvia;CEDLA;Trabajadores por cuenta propia en La Paz;1988;
L-2790;;MINISTERIO DE HACIENDA;Presupuestos ejecutados de la administración central del gobierno de la República de Bolivia (1997). Dirección General de Contaduría. Viceministerio y Contaduría;2000;
L-2791;;MINISTERIO DE HACIENDA;Presupuestos ejecutados de la administración central del gobierno de la República de Bolivia (1998). Dirección General de Contaduría. Viceministerio y Contaduría;2000;
L-2792;;MINISTERIO DE HACIENDA;Presupuestos ejecutados de la administración central del gobierno de la República de Bolivia (1999). Dirección General de Contaduría. Viceministerio y Contaduría;2000;
L-2793;;THE ECONOMIST INTELLIGENCE UNIT;Bolivia: Our quarterly country report on Bolivia analyses current trends. This annual country profile provides background political and economic information;1999;
L-2794;"PESCATORE, Pierre; DAVEY, William J.; LOWENFELD, Andreas F.";;Handbook of Gatt dispute settlement;1993;
L-2795;MARGLIN, Stephen A.;;Perdiendo el contacto: Hacia la descolonización de la economía;2000;
L-2796;"MAYER, Jorg; CHAMBERS, Brian; FAROOQ, Ayisha";;Development policies in natural resource economies: Políticas de desarrollo en recursos naturales económicos;1999;
L-2797;DINAR, Ariel;;The political economy of water pricing reforms: La Economía política de las reformas a la evaluación del agua;2000;
L-2798;BARLOW, Mude;;The global water crisis and the commodification of the world´s water supply: La crisis global del agua y la utilización  del abastecimiento del agua mundial;1999;
L-2799;BOZEMAN, Barry;;All organization are public;1987;
L-279;RODRIGUEZ, Octavio;;Teoría del subdesarrollo de la CEPAL;1980;
L-27;;BANCO MUNDIAL;Crédito Agrícola;;
L-2800;;"ONUDI; CLAD; CICAP";Diseño de programas de capacitación gerencial: empresas públicas industriales de América Latina y el Caribe;1987;
L-2801;MAJUL, Luis;;Dueños de la Argentina: la cara oculta de los negocios;1992;
L-2802;"MERRILL, William; FOX, Karl";;Introducción a la estadística económica;1977;
L-2803;BANDURA, Albert;;Principles of behavior modification: Principios de modificación del comportamiento;1969;
L-2804;BLAKE, Oscar;;Capacitación: un recurso dinamizador de las organizaciones;1987;
L-2805;;"CARI; OTAN";Perspectivas sobre la seguridad global;1994;
L-2806;"WILDEROM, Celeste; GLUNK, Ursula";;European management?: Administración europea?;1996;
L-2807;ACKOFF, Russell L.;;Planificación de la empresa del futuro;1981;
L-2808;"KATZ, Daniel; KAHN, Robert";;Psicología social de las organizaciones;1981;
L-2809;;INDEC;Población no nativa de la Argentina. La (1869-1991);1996;
L-280;;JUNTA DEL ACUERDO DE CARTAGENA;Instituciones de servicios. Pequeña y mediana industria;1989;
L-2810;;PRICE WATERHOUSE;Doing business in Argentina;1995;
L-2811;;PRICE WATERHOUSE;Doing business in Brazil;1995;
L-2812;;PRICE WATERHOUSE;Doing business in México;1995;
L-2813;;PRICE WATERHOUSE;Doing business in Paraguay;1995;
L-2814;;PRICE WATERHOUSE;Doing business in Uruguay;1995;
L-2815;;ERNEST Y YOUNGS INTERNATIONAL BUSINESS;Doing business in Venezuela;1992;
L-2816;MULLINS, Laurie;;Instructor`s Manual: management and organisational behaviour: Manual de instrucción: Administración y comportamiento organizacional;1996;
